"email","full_name","address","password","balance","is_seller"
"tamaramorrison@hotmail.com","Kyle Cruz","32094 Jones Springs Apt. 201 Masseyhaven, KY 68893","pbkdf2:sha256:600000$hRhMjKAkoAphXpug$b61d15790ff78e47eeb770dadb066df23ca78ee957e6460eb490560ee9469723","831.30","true"
"gwilliams@hotmail.com","Ian Dennis","302 Matthew Glen New Sandraburgh, AL 62317","pbkdf2:sha256:600000$AwMVwP8ZbL1h8NSK$cba91c74ca0b420b09d30d5b538db6f36e974953b6f61437ef55647826067516","697.52","true"
"nstewart@gmail.com","Veronica Lowe","93442 Thomas Locks North Joshuamouth, AS 15676","pbkdf2:sha256:600000$E8Vb9QFJEWuE3kVX$2e6f94ca1ef4e9cd4705efd402854bb166ea71968f65885f8df712fce771292a","882.32","false"
"zrogers@yahoo.com","Michael Simmons","96111 Kara Circle Smithfurt, OH 68527","pbkdf2:sha256:600000$zKs2BBKeQ40Qi4MC$78259efef2892897bb6f410af384a1d38cb17934a2a2be9286b63ed4c12c727c","296.57","true"
"krivera@gmail.com","Jacob Reyes","189 Julie Throughway West Amanda, PA 55268","pbkdf2:sha256:600000$SLQb6LLbA8R0ds0z$1694c265e4a483afb96a9bc459ff700fbc9606732ff92d22e931da32b47bff83","845.61","true"
"bscott@hotmail.com","Sherri Hall","412 Snow Manors Apt. 161 South Kimtown, WY 59053","pbkdf2:sha256:600000$MuHBueobbBkJIRCS$e7f5bebaa22db89bd62abb7c588fef23f7f88112458d9e454000585e254623fe","441.87","true"
"karicarter@yahoo.com","Carlos Smith","64862 Evans Knoll East Seanstad, SC 69865","pbkdf2:sha256:600000$J200dyc7Y4te4p62$1ddc334e94c8c6073dd73ee840643ef5c63c9fdfd36c2e6ee79f3e2ad9723a4f","59.48","false"
"caitlinjohnson@yahoo.com","Bailey Villarreal","64482 Amanda Loop Figueroaview, LA 58482","pbkdf2:sha256:600000$Krej6F1xcRVQ0lpl$63e6f0859d4c6bba3a6cb20b1d21272bc870fb36a23eaababbaebc1b4149dc02","380.72","true"
"bullockarthur@hotmail.com","Heidi Paul","491 Wise Knoll Ellishaven, TN 85502","pbkdf2:sha256:600000$Pya9jDp003c2dMwh$d35cac3452110c123ddc3b83644f36728f51ad8890b5bb40d352bcb39a50b98b","977.70","false"
"hstevens@gmail.com","Ronald Moore","9168 Williams Falls South Jeffrey, MP 37069","pbkdf2:sha256:600000$586I1TKI9foBbUNh$f5e125d370a24cda195540a3e2c29de46f2562b6bcad1d7ff7942e276028bdad","956.45","false"
"shudson@gmail.com","Rose Wolf","719 Alicia Knolls Bryanttown, IN 73314","pbkdf2:sha256:600000$qeJiB1XcnSk5V9MK$ebe8eb5797a97e85f1cd23dbd67fe66dab086f2de5da5f6e123846b7896bc807","668.20","false"
"christystanley@hotmail.com","Gary Larsen","28216 Christine Mount New Carolyn, KS 45098","pbkdf2:sha256:600000$fIhTFiP4yV678bPF$617605416dc684e8d338617a8e4bc9ed08108a449058e905e592be8aeb26ad34","825.94","false"
"brendacortez@hotmail.com","Sean Hernandez","092 Cox Road Marcusfurt, PA 56993","pbkdf2:sha256:600000$bN77GlOe6LnkjIaw$f5fc48cfcab340d019405d8ffb534782307b7cbd9ab755ae1fea3adef3572384","174.00","false"
"rubiofrank@gmail.com","Teresa King","514 Travis Track Suite 366 Rowefurt, UT 05536","pbkdf2:sha256:600000$SJonyBtlh5a6354f$6627bf55b10ea7bea00c455904a8ea0bde74a118918925fcd93e566cb074c512","596.59","true"
"kimberly87@gmail.com","Kristen Johnson","1379 Lisa Pike Lake Matthew, SD 18179","pbkdf2:sha256:600000$7XJYBzdUpoTn604j$df9ce9f13fa9d3a64d2139017b709d97bb1abc4d6997c3d8ad4cb4fbd1008290","487.98","true"
"morriskrystal@hotmail.com","Bobby Williams PhD","81155 Thomas Bypass Apt. 840 South Matthewside, UT 19753","pbkdf2:sha256:600000$gdcCclVeg7aNSnzQ$2a1023d4eac8102ad486d2ff865695b58d068e281bbb7c0a392ed83779372809","164.22","false"
"thomaswalker@yahoo.com","Jennifer Perkins","580 Mcdowell Harbor Apt. 956 New Natalieton, FL 94017","pbkdf2:sha256:600000$MDtSSGPGeg1iVmF1$f6099e5197451db7ea27e2c1c5567435b2837146791b587e2808f8d16fe8a87a","401.03","true"
"jennifer51@yahoo.com","Stephanie Peterson","268 Young Lane Suite 678 Tamichester, GU 13308","pbkdf2:sha256:600000$OE9kVqRURLDMDoYA$9dadc547b0aaaca35e9d2adc47159f0879709f9e2d7cc13ec620bc39dd8f40fb","699.19","false"
